分类: 🌊港澳台, 名称: BBC News, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 331 ms, 最高速率: 0.23 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1024x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: 黄金翡翠台, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港澳台, 名称: TVB Plus, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 98 ms, 最高速率: 62.51 M/s, 平均速率: 0.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 20.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: 翡翠台, 有效: 2, IPv4: 28, IPv6: 0, 最小延迟: 72 ms, 最高速率: 103.48 M/s, 平均速率: 0.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: 无线新闻台, 有效: 0, IPv4: 29, IPv6: 0, 最小延迟: 143 ms, 最高速率: 0.24 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: hevc, 音频编解码器: aac
分类: 🌊港澳台, 名称: 明珠台, 有效: 1, IPv4: 16, IPv6: 0, 最小延迟: 211 ms, 最高速率: 0.28 M/s, 平均速率: 0.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: 港台电视 31, 有效: 2, IPv4: 12, IPv6: 0, 最小延迟: 259 ms, 最高速率: 44.94 M/s, 平均速率: 2.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: HOY 资讯台, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港澳台, 名称: viuTV, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港澳台, 名称: 香港开电视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港澳台, 名称: 港台电视 32, 有效: 1, IPv4: 12, IPv6: 0, 最小延迟: 145 ms, 最高速率: 3.00 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 🌊港澳台, 名称: 凤凰卫视, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 368 ms, 最高速率: 1.29 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 🌊港澳台, 名称: 天映频道, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 425 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
